Common labels: {"component":"loki.source.syslog","protocol":"udp"}
Line limit: "5000 reached, received logs cover 5.54% (6sec) of your selected time range (1min 50sec)"
Total bytes processed: "1.05  MB"


2026-04-07 15:00:43.904	EOF occurred while idle; fd='14'

2026-04-07 15:00:43.904	Syslog connection closed; fd='14', server='AF_INET(10.223.22.184:12201)', time_reopen='60'

2026-04-07 15:00:43.904	Syslog connection established; fd='14', server='AF_INET(10.223.22.184:12201)', local='AF_INET(0.0.0.0:0)'

2026-04-07 15:00:44.275	(Publisher) Sending PINGREQ

2026-04-07 15:00:44.275	(DCPoller) Starting polling process: from 2026-04-07 12:18:56.895906+00:00 to 2026-04-07 12:19:21.671467+00:00

2026-04-07 15:00:44.275	2026-04-07T12:19:26.021792Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	packet queue is empty, aborting

2026-04-07 15:00:44.275	2026-04-07T12:19:26.032148Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.042499Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.052885Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.063246Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.073678Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.084045Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	2026-04-07T12:19:26.094707Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.275	ERROR:    Exception in ASGI application

2026-04-07 15:00:44.275	Traceback (most recent call last):

2026-04-07 15:00:44.276	    conn.request(

2026-04-07 15:00:44.276	    self.send(chunk)

2026-04-07 15:00:44.277	    self.sock.sendall(data)

2026-04-07 15:00:44.277	TimeoutError: timed out

2026-04-07 15:00:44.277	During handling of the above exception, another exception occurred:

2026-04-07 15:00:44.278	Traceback (most recent call last):

2026-04-07 15:00:44.278	    return await self.app(scope, receive, send)

2026-04-07 15:00:44.278	    await super().__call__(scope, receive, send)

2026-04-07 15:00:44.278	    await self.middleware_stack(scope, receive, send)

2026-04-07 15:00:44.278	    raise exc

2026-04-07 15:00:44.278	    await self.app(scope, receive, _send)

2026-04-07 15:00:44.278	    raise app_exc

2026-04-07 15:00:44.292	    await self.app(scope, receive_or_disconnect, send_no_error)

